tsne-2d-one,tsne-2d-two,cluster_label
69.4446,34.89523,0
59.653633,-96.24519,0
-50.72754,-122.36376,0
-110.29012,-4.8400993,0
68.973915,34.61595,0
117.635765,57.104916,0
57.5006,36.76869,0
-6.757161,-51.508972,0
76.816246,54.076626,0
53.016407,-68.673004,0
-30.739033,-116.386284,0
-117.08832,-24.82471,0
76.77611,55.116505,0
106.25753,53.314747,0
74.64861,58.32971,0
2.5745568,-69.122505,0
67.89576,-9.905784,0
78.328835,-77.595474,0
-46.45378,-149.15996,0
-94.073006,-13.56239,0
67.39281,-9.233193,0
108.31249,68.080894,0
59.557682,-2.3796961,0
17.367506,-56.04989,0
24.98677,36.261616,0
58.69398,-113.081726,0
-63.31398,-132.36818,0
-107.035934,11.436253,0
25.23903,36.075916,0
134.42072,67.91846,0
26.593737,34.377384,0
-15.554821,-42.96293,0
51.149788,27.140488,0
63.710716,-101.46768,0
-48.741158,-131.24835,0
-106.83313,2.4065125,0
50.77404,27.521685,0
119.66182,60.725388,0
47.29396,26.812214,0
-3.1421385,-44.750557,0
-16.614286,105.37714,0
29.915855,-116.774025,0
-75.251,-89.37757,0
-168.53638,-9.744513,0
-17.232826,104.976395,0
153.51228,-3.0901282,0
-21.517334,101.29739,0
-57.70352,-44.170753,0
35.96629,12.246559,0
82.61174,-85.09931,0
-52.419712,-155.208,0
-97.57186,0.8083729,0
36.1079,12.243002,0
117.73267,81.51689,0
30.787567,15.625005,0
20.613815,-47.774967,0
-6.5496793,114.55135,0
40.40262,-118.52393,0
-68.74835,-89.831406,0
-168.3634,-1.8253902,0
-6.7205253,114.80165,0
146.00499,-1.1427363,0
-9.46269,117.74872,0
-45.21102,-47.394444,0
44.054623,32.047512,0
60.57817,-104.43667,0
-57.703682,-127.20949,0
-110.47052,8.090436,0
44.448784,31.875935,0
143.18399,52.087353,0
44.924797,31.31998,0
-18.239553,-50.388203,0
98.549675,-11.367381,0
-4.720114,-120.265755,0
127.44007,-62.53096,0
106.46858,-9.618219,0
101.2156,-13.701408,0
172.02036,65.90781,0
