tsne-2d-one,tsne-2d-two,cluster_label
4.5739045,-42.313583,0
-33.452633,8.179384,0
29.077728,-14.671587,0
47.463356,-120.36348,0
-140.24933,2.4644048,0
159.9855,3.9927516,0
-36.06502,104.830666,0
-32.3009,76.36638,0
21.855234,-55.800888,0
-50.46992,15.301829,0
44.2607,-28.261541,0
41.7601,-129.21698,0
-142.04347,6.2092757,0
165.13602,6.9275637,0
-69.60965,111.16543,0
-73.61327,115.32075,0
1.1529974,-84.6367,0
-85.13985,7.394349,0
37.232388,-78.29264,0
12.283965,-146.00894,0
-154.49821,-28.757452,0
129.77989,-20.124947,0
-25.411938,163.01979,0
-26.144884,164.18901,0
-10.697142,-27.93457,0
-12.166851,5.9766,0
4.6321425,-3.0464256,0
71.42388,-121.44747,0
-123.05555,-13.337034,0
136.74512,9.406816,0
-6.788954,93.84831,0
-7.557266,94.25243,0
-5.0890784,-28.807419,0
-18.544773,1.3887314,0
12.216788,-5.1074486,0
65.1019,-115.01076,0
-133.36804,-10.996777,0
133.73184,1.9436982,0
-22.985775,101.0873,0
-27.474977,96.25332,0
-12.594363,-55.028038,0
-34.475346,36.514328,0
-13.77634,-50.88693,0
65.33371,-139.96011,0
-113.85802,-0.41111782,0
143.78516,26.675434,0
-15.9390745,114.35707,0
-15.6657295,113.25592,0
1.08668,-88.555405,0
-91.57118,15.81937,0
42.10735,-86.156494,0
16.65755,-159.07317,0
-163.17104,-33.19677,0
127.6735,-29.902662,0
-18.306347,166.30971,0
-17.739786,165.82678,0
-24.696285,-27.274626,0
-5.993316,23.468891,0
-28.544264,-17.323675,0
76.72283,-114.310425,0
-112.18954,-18.752565,0
132.1376,24.283394,0
10.018704,79.76096,0
11.130689,79.12695,0
5.9568276,-41.298172,0
-31.91917,10.441894,0
24.918543,-12.40831,0
54.014008,-122.84683,0
-128.36159,5.0396357,0
149.17279,6.2719975,0
-42.754032,98.74126,0
-37.12555,91.9381,0
18.612293,-51.102947,0
-47.6696,10.190341,0
42.05009,-29.750051,0
39.48179,-126.18701,0
-147.60419,8.772752,0
157.48825,4.3133965,0
-66.16331,114.791466,0
-67.05661,114.90169,0
-68.71323,-89.8909,0
-33.861572,54.78931,0
-75.3843,-97.73995,0
78.1946,-158.02753,0
-100.399284,-45.976555,0
89.10708,9.165704,0
62.25674,121.203384,0
60.908897,122.979164,0
25.0702,-73.96866,0
-65.64613,19.12279,0
50.408787,-36.689957,0
41.15265,-135.333,0
-182.01433,-12.3829,0
152.65782,-29.512543,0
-62.770374,152.99506,0
-64.08644,153.24742,0
-29.751875,-76.09631,0
-66.18623,70.10661,0
-30.547205,-74.883,0
50.198578,-165.84677,0
-171.36977,-63.64721,0
117.18029,-49.0041,0
4.990451,130.32387,0
5.510006,130.14445,0
114.76003,44.65809,0
57.93002,-12.806725,0
-126.10985,86.29307,0
127.23129,50.359226,0
-49.018894,-12.899683,0
72.0868,-52.675873,0
139.30234,59.04022,0
140.36879,56.38015,0
21.266163,-76.6161,0
-65.74506,17.033752,0
59.568817,-61.7424,0
35.9857,-145.3418,0
-145.27907,6.6028028,0
166.39664,5.732289,0
-65.75915,153.83133,0
-67.19978,152.99744,0
15.842097,-29.217945,0
-32.682423,26.935411,0
24.446999,-26.83197,0
46.785496,-102.70412,0
-129.36813,20.43729,0
166.67622,21.839314,0
