date,OT1,OT2,OT3,OT4,OT5,OT6,OT7,OT8,OT9,OT10
2023-01-01 00:00:00,152.472131,12.392351,18.801367,119.067984,9.371185,176.87829,187.217536,148.597142,192.406885,125.757108
2023-01-01 01:00:00,151.149948,77.166998,7.669297,92.37896,28.596053,134.774572,181.612639,-7.859846,123.777559,-38.720199
2023-01-01 02:00:00,133.185425,75.533099,20.021506,50.618334,33.54072,77.921054,143.941572,-75.591813,37.682789,-86.323079
2023-01-01 03:00:00,105.026618,78.709435,-8.449302,-24.030543,-80.624318,8.10086,-8.680976,-132.255432,-1.438948,-37.793645
2023-01-01 04:00:00,96.332784,90.910153,-62.002411,-36.308074,-163.957234,14.436097,-63.609558,-136.074317,84.123071,-3.151767
2023-01-01 05:00:00,84.042392,102.599228,-151.82816,-22.390507,-192.933555,15.281629,-35.066822,-81.115817,314.018814,-25.46898
2023-01-01 06:00:00,92.75814,104.953825,-136.895332,-7.71859,-135.084658,6.679703,18.040952,-40.778874,348.808377,-58.556812
2023-01-01 07:00:00,148.356448,120.922936,10.618465,39.400218,15.99921,30.866367,153.822815,-24.666653,205.395333,-42.540775
2023-01-01 08:00:00,172.008408,120.10202,99.970259,107.501816,86.788282,116.843497,284.117818,18.968369,82.957999,86.685768
2023-01-01 09:00:00,144.247889,108.492274,90.119399,141.559923,85.488335,147.890768,303.216592,65.806071,72.990431,118.889715
2023-01-01 10:00:00,64.959811,67.25145,36.207086,162.564249,45.652886,119.815014,223.443695,61.158382,34.115093,43.660808
2023-01-01 11:00:00,16.707942,30.767418,12.961397,115.795811,12.487183,67.560725,140.050247,-14.301753,-18.798917,-31.402688
2023-01-01 12:00:00,-90.433318,-39.812981,23.450546,-21.951858,-14.590666,-40.238091,-12.606951,-141.388686,-66.915588,-133.339674
2023-01-01 13:00:00,-104.88999,-49.2825,58.890318,-44.095273,3.311838,-71.343894,-38.927454,-133.814825,-24.818291,-114.462712
2023-01-01 14:00:00,-23.367039,-10.132392,136.184548,4.103549,27.97781,-45.483959,1.713864,-57.580737,80.259736,29.941516
2023-01-01 15:00:00,47.816074,37.445891,158.414171,31.628382,33.21958,20.170377,52.007426,-13.806529,120.04938,93.078391
2023-01-01 16:00:00,157.748728,145.453352,117.612083,45.663637,75.498201,160.17617,157.576338,114.188045,218.98624,144.204904
2023-01-01 17:00:00,84.59741,160.960716,49.256148,61.428425,129.717314,136.897562,145.367307,152.883737,202.306022,112.754856
2023-01-01 18:00:00,-17.796622,113.699649,58.45466,68.417889,120.459152,52.751794,98.816968,106.283997,115.352641,67.027707
2023-01-01 19:00:00,-216.593288,-14.09439,82.122842,-11.038347,-16.608586,-125.946291,13.198954,4.054231,-36.277903,-37.154615
2023-01-01 20:00:00,-245.072468,-31.691623,75.683967,-61.400606,-91.289311,-156.197081,-0.051847,-11.847651,-46.644414,-63.303553
2023-01-01 21:00:00,-110.608017,18.589171,90.001177,-26.196966,-115.918443,-85.963879,56.684067,40.53115,27.607331,-54.278862
2023-01-01 22:00:00,-6.647322,50.487959,123.716698,36.166141,-63.419521,-27.336594,114.786611,80.979662,81.70256,-34.65985
2023-01-01 23:00:00,137.48481,147.479529,208.586258,131.481291,148.801369,85.618208,219.270663,123.090084,172.511568,68.995628
2023-01-02 00:00:00,212.101203,253.574919,241.04842,169.86573,335.297315,153.000144,254.529938,117.986864,184.040983,214.499596
2023-01-02 01:00:00,217.481317,266.179329,225.497079,168.301124,339.090819,159.731588,263.29768,100.529456,167.297404,227.192031
2023-01-02 02:00:00,181.108778,256.725547,189.630955,174.495377,235.66215,199.465294,252.538376,113.397119,195.234502,153.75851
2023-01-02 03:00:00,166.104407,253.58133,191.922795,187.342022,188.726211,230.977103,221.440337,163.875473,239.710575,130.037327
2023-01-02 04:00:00,158.941757,191.448271,212.303689,151.46603,133.396113,213.453599,170.399653,223.920945,275.322582,99.226519
2023-01-02 05:00:00,147.359306,139.402722,214.760334,107.223433,126.059226,164.89828,156.75935,190.784724,234.71134,64.386145
2023-01-02 06:00:00,53.591802,72.797166,189.457773,69.820588,165.901222,67.776344,114.804087,138.563816,98.694706,62.888234
2023-01-02 07:00:00,6.74957,67.275939,156.981919,81.713459,181.218677,44.733625,106.020521,176.082079,74.855812,114.968991
2023-01-02 08:00:00,42.800243,60.735874,81.051116,78.519488,121.525383,42.56994,148.450132,232.368395,163.46303,133.702996
