window_index,anomaly_score,is_anomaly,threshold_used
0,-0.04199507751970444,0,0.09598263185918243
1,-0.011620730351818431,0,0.09598263185918243
2,-0.06190062381786199,0,0.09598263185918243
3,0.009850789908180113,0,0.09598263185918243
4,0.016417939161511907,0,0.09598263185918243
5,0.025786440254691678,0,0.09598263185918243
6,0.09112868383992312,0,0.09598263185918243
7,0.053116335690461924,0,0.09598263185918243
8,-0.04199507751970444,0,0.09598263185918243
9,-0.011620730351818431,0,0.09598263185918243
10,-0.06190062381786199,0,0.09598263185918243
11,0.009850789908180113,0,0.09598263185918243
12,-0.04199507751970444,0,0.09598263185918243
13,-0.011620730351818431,0,0.09598263185918243
14,-0.06190062381786199,0,0.09598263185918243
15,0.009850789908180113,0,0.09598263185918243
16,-0.04199507751970444,0,0.09598263185918243
17,-0.011620730351818431,0,0.09598263185918243
18,-0.06190062381786199,0,0.09598263185918243
19,0.009850789908180113,0,0.09598263185918243
20,0.0886563910645648,0,0.09598263185918243
21,0.0018665332168089632,0,0.09598263185918243
22,0.015219472066083095,0,0.09598263185918243
23,-0.00852435053821804,0,0.09598263185918243
24,-0.04199507751970444,0,0.09598263185918243
25,-0.011620730351818431,0,0.09598263185918243
26,-0.06190062381786199,0,0.09598263185918243
27,0.009850789908180113,0,0.09598263185918243
28,-0.04199507751970444,0,0.09598263185918243
29,-0.011620730351818431,0,0.09598263185918243
30,-0.06190062381786199,0,0.09598263185918243
31,0.009850789908180113,0,0.09598263185918243
32,-0.04199507751970444,0,0.09598263185918243
33,-0.011620730351818431,0,0.09598263185918243
34,-0.06190062381786199,0,0.09598263185918243
35,0.009850789908180113,0,0.09598263185918243
36,-0.04199507751970444,0,0.09598263185918243
37,-0.011620730351818431,0,0.09598263185918243
38,-0.06190062381786199,0,0.09598263185918243
39,0.009850789908180113,0,0.09598263185918243
40,-0.04199507751970444,0,0.09598263185918243
41,-0.011620730351818431,0,0.09598263185918243
42,-0.06190062381786199,0,0.09598263185918243
43,0.009850789908180113,0,0.09598263185918243
44,-0.04199507751970444,0,0.09598263185918243
45,-0.011620730351818431,0,0.09598263185918243
